Id,Start,Name,Impact,Currency
70dd393b-44dc-4cce-8d62-525d842afedb,01/05/2021 07:00:00,Retail Sales (YoY),HIGH,EUR
287b9931-3a07-411e-b80d-a1a33bf50673,01/05/2021 07:00:00,Retail Sales (MoM),MEDIUM,EUR
c9021685-f1d2-48c6-9d96-ffb6b5fbf1f1,01/05/2021 07:30:00,Consumer Price Index (YoY),MEDIUM,CHF
ce808bd7-f61d-4015-abcc-cd520798550a,01/05/2021 07:30:00,Consumer Price Index (MoM),LOW,CHF
5315c5f5-a7ff-461d-b84b-8bdbcb895e01,01/05/2021 08:55:00,Unemployment Rate s.a.,MEDIUM,EUR
41877e8d-61d8-4c32-a24c-1ea80e096c4a,01/05/2021 08:55:00,Unemployment Change,MEDIUM,EUR
7e31c693-43e7-4669-8309-68bd8969f36f,01/05/2021 09:00:00,Private Loans (YoY),LOW,EUR
cf52bd63-baa0-412f-8ea6-3e01e7f76104,01/05/2021 09:00:00,M3 Money Supply (3m),LOW,EUR
44f7b96d-b7c9-44b3-b74c-3c1a09182df6,01/05/2021 09:00:00,M3 Money Supply (YoY),LOW,EUR
a884566a-adff-4fe5-a00f-7fb562ed8955,01/05/2021 13:30:00,Raw Material Price Index,LOW,CAD
71efb7f2-26fc-4b0d-95d3-9ef7dcfbe0fc,01/05/2021 13:30:00,Industrial Product Price (MoM),LOW,CAD
28550ef0-c6c0-4924-a789-ddf5773cd51b,01/05/2021 13:55:00,Redbook Index (YoY),LOW,USD
db9a1ad5-eef1-4b86-9747-12a010eb4e16,01/05/2021 13:55:00,Redbook Index (MoM),LOW,USD
64f90146-bd8b-4834-b425-dcea1af47f77,01/05/2021 15:00:00,ISM Manufacturing Employment Index,MEDIUM,USD
fbb9ea54-cec7-4a15-a34a-624cc31a32c7,01/05/2021 15:00:00,ISM Manufacturing PMI,HIGH,USD
1f0c524e-ba37-4b9f-84f3-f9f8b548e4c3,01/05/2021 15:00:00,ISM Manufacturing Prices Paid,MEDIUM,USD
dae5da5a-c8bc-4869-b49b-2dd0bf397155,01/05/2021 15:00:00,ISM Manufacturing New Orders Index,MEDIUM,USD
32ba5e29-df24-4fac-9d04-03131e2e6bc6,01/05/2021 15:00:00,GDT Price Index,LOW,NZD
77226d93-9e36-4c3d-9cbe-13018abf9a10,01/05/2021 20:30:00,Total Vehicle Sales,LOW,USD
a5a0606f-a5d2-47d1-a537-7464f369f16f,01/05/2021 20:45:00,Fed's Evans speech,LOW,USD
93e8e862-5735-4441-b460-2cf9a4f9dee3,01/05/2021 20:45:00,Fed's Williams speech,MEDIUM,USD
41da4950-b30f-408b-a729-483255d6ccc6,01/05/2021 20:45:00,Fed's Williams speech,MEDIUM,USD
1e0e5816-a587-47c7-b71c-2fc4d40eb4da,01/05/2021 21:30:00,API Weekly Crude Oil Stock,LOW,USD
c32f6f96-1092-4f44-a06b-286c85035f8d,01/05/2021 22:00:00,Epiphany,NONE,EUR
16dc7555-93a0-45ad-87f2-b1f57ec138f7,01/05/2021 22:00:00,Epiphany,NONE,EUR
4a41f6c6-4129-4b8d-ac7e-7ec28767e40e,01/05/2021 22:00:00,Commonwealth Bank Services PMI,MEDIUM,AUD
e21c64e0-825e-4726-ac1a-a5c63bdc82e5,01/05/2021 22:00:00,Commonwealth Bank Composite PMI,LOW,AUD
d19388b9-976d-4852-bc32-ac3d9fe121d2,01/06/2021 00:01:00,BRC Shop Price Index (YoY),LOW,GBP
86ac81dc-37ea-4dfe-b18b-964f192667f1,01/06/2021 00:30:00,Jibun Bank Services PMI,LOW,JPY
7f9ba5da-2f9c-4f8a-b85b-8d83a9693b23,01/06/2021 01:45:00,Caixin Services PMI,MEDIUM,CNY
8e01dab8-2cf4-499d-afc2-54dbeb7407ea,01/06/2021 03:35:00,10-y Bond Auction,LOW,JPY
fa526402-bb61-45c9-a8d5-e6d79c403b2b,01/06/2021 05:00:00,Consumer Confidence Index,LOW,JPY
ec0c56ea-bedc-4fba-83a8-20b795b9c58d,01/06/2021 07:45:00,Consumer Price Index (EU norm) (MoM),LOW,EUR
5ecd1b54-7299-4c76-b4c9-2bc3783f1bda,01/06/2021 07:45:00,Consumer Price Index (EU norm) (YoY),LOW,EUR
d660cb23-f41d-4191-a1e3-bd148377f466,01/06/2021 07:45:00,Consumer Confidence,LOW,EUR
bd7d85b3-f7bd-48d6-9372-55d25a2b3349,01/06/2021 08:15:00,Markit Services PMI,MEDIUM,EUR
3f41c76a-16f8-45d2-82c4-46826f651df8,01/06/2021 08:45:00,Markit Services PMI,MEDIUM,EUR
88a979e1-6bba-4936-87eb-54182c5234c6,01/06/2021 08:50:00,Markit Services PMI,LOW,EUR
3e63a229-bc8c-41b0-b3cc-072e5f4f1fbd,01/06/2021 08:50:00,Markit PMI Composite,LOW,EUR
86265086-9ff3-4b25-aac4-caec7e5b9330,01/06/2021 08:55:00,Markit Services PMI,LOW,EUR
5759bc98-7335-4be0-a75f-ada8c64cfe8f,01/06/2021 08:55:00,Markit PMI Composite,MEDIUM,EUR
e2292546-8dc4-4c8f-b2a8-3c134378bc75,01/06/2021 09:00:00,Markit Services PMI,LOW,EUR
2266405e-99bc-4b71-83a1-03e42846fd14,01/06/2021 09:00:00,Markit PMI Composite,MEDIUM,EUR
088315a2-4a0c-436e-858d-5b9721bee9b6,01/06/2021 09:30:00,Markit Services PMI,LOW,GBP
4188f5a8-a05c-4bf6-8bc3-bbeda56acc9c,01/06/2021 10:00:00,10-y Bond Auction,LOW,GBP
e69d9200-9f6e-4810-b276-3e25a5354537,01/06/2021 10:00:00,Producer Price Index (YoY),LOW,EUR
d38ee3a8-c484-4169-b4bd-4d15d21301cc,01/06/2021 10:00:00,Producer Price Index (MoM),LOW,EUR
53aaca52-ce75-4a17-bd13-b5ee5804db6d,01/06/2021 10:30:00,10-y Bond Auction,MEDIUM,EUR
a2a1db34-5294-4f27-8396-f64a5ee8fedf,01/06/2021 12:00:00,MBA Mortgage Applications,LOW,USD
942062bb-ae49-45d3-b7bd-a1e5cb43e0d4,01/06/2021 13:00:00,Consumer Price Index (YoY),LOW,EUR
aa6e6c01-be52-4b35-9029-e9597a5088a9,01/06/2021 13:00:00,Consumer Price Index (MoM),LOW,EUR
a70a9777-8d71-4ef9-b9c2-912482dbcefc,01/06/2021 13:00:00,Harmonized Index of Consumer Prices (YoY),HIGH,EUR
276eb33a-07b0-4231-9b26-d92b420ccd12,01/06/2021 13:00:00,Harmonized Index of Consumer Prices (MoM),LOW,EUR
41288b41-734c-4e0d-9e18-f01750aff676,01/06/2021 13:15:00,ADP Employment Change,HIGH,USD
4740ef68-6e73-471a-9dfa-c58882a4fd09,01/06/2021 14:00:00,BoE's Governor Bailey speech,HIGH,GBP
e7e41d5a-1c27-4b84-81a2-114ca9921b9d,01/06/2021 14:45:00,Markit Services PMI,MEDIUM,USD
2801c868-b3e5-4558-ae48-4b0df222edc4,01/06/2021 14:45:00,Markit PMI Composite,MEDIUM,USD
ec3c3a0f-94f7-43d6-acdc-493bbb6b4d0d,01/06/2021 15:00:00,Factory Orders (MoM),MEDIUM,USD
b3e8557f-45c0-43ef-b911-7ac13ae16f98,01/06/2021 15:30:00,EIA Crude Oil Stocks Change,LOW,USD
d272c39c-16e2-4998-abdd-2e323cfbca97,01/06/2021 19:00:00,FOMC Minutes,HIGH,USD
4f6ac45f-61d7-48e4-a381-91a25034c6e5,01/06/2021 23:30:00,Labor Cash Earnings (YoY),LOW,JPY
ee6c66e2-63cd-43de-a324-e8d6b590df4c,01/06/2021 23:50:00,Foreign Investment in Japan Stocks,LOW,JPY
38918e7d-e022-4fe8-9015-1f91ab23d987,01/06/2021 23:50:00,Foreign Bond Investment,LOW,JPY
08715150-b22f-4286-9c62-4f26f40a1513,01/06/2021 23:50:10,Foreign Investment in Japan Stocks,LOW,JPY
a5d1b7b5-2a88-4186-9250-278d0eb52a08,01/06/2021 23:50:10,Foreign Bond Investment,LOW,JPY
8db25d01-6ade-42eb-898e-bcbb2e6f1be1,01/07/2021 00:30:00,Imports (MoM),MEDIUM,AUD
ee543569-6308-4f64-8b52-46b051ccdcad,01/07/2021 00:30:00,Exports (MoM),MEDIUM,AUD
ccdc7ff3-1fe5-4f18-b692-2b6c5c309716,01/07/2021 00:30:00,Building Permits (YoY),LOW,AUD
e46b02cf-93bb-4e2f-96ff-47593b180427,01/07/2021 00:30:00,Building Permits (MoM),MEDIUM,AUD
01513ca4-f8b2-4eb0-9a6d-a3626da6a8a2,01/07/2021 00:30:00,Trade Balance (MoM),HIGH,AUD
