Title,Country,Date,Time,Impact,Forecast,Previous
Bank Holiday,NZD,01-03-2021,8:00pm,Holiday,,
Final Manufacturing PMI,JPY,01-04-2021,12:30am,Low,49.7,49.7
Caixin Manufacturing PMI,CNY,01-04-2021,1:45am,Low,54.7,54.9
Commodity Prices y/y,AUD,01-04-2021,5:30am,Low,,2.2%
Spanish Manufacturing PMI,EUR,01-04-2021,8:15am,Low,52.6,49.8
Manufacturing PMI,CHF,01-04-2021,8:30am,Low,54.4,55.2
Italian Manufacturing PMI,EUR,01-04-2021,8:45am,Low,53.5,51.5
French Final Manufacturing PMI,EUR,01-04-2021,8:50am,Low,51.1,51.1
German Final Manufacturing PMI,EUR,01-04-2021,8:55am,Low,58.6,58.6
Final Manufacturing PMI,EUR,01-04-2021,9:00am,Low,55.5,55.5
Final Manufacturing PMI,GBP,01-04-2021,9:30am,Medium,57.3,57.3
Mortgage Approvals,GBP,01-04-2021,9:30am,Low,82K,98K
M4 Money Supply m/m,GBP,01-04-2021,9:30am,Low,0.4%,0.6%
Net Lending to Individuals m/m,GBP,01-04-2021,9:30am,Low,3.0B,3.7B
OPEC-JMMC Meetings,ALL,01-04-2021,10:15am,High,,
Manufacturing PMI,CAD,01-04-2021,2:30pm,Medium,,55.8
Final Manufacturing PMI,USD,01-04-2021,2:45pm,Low,56.3,56.5
Construction Spending m/m,USD,01-04-2021,3:00pm,Low,1.1%,1.3%
FOMC Member Evans Speaks,USD,01-04-2021,3:00pm,Low,,
FOMC Member Bostic Speaks,USD,01-04-2021,3:00pm,Low,,
Monetary Base y/y,JPY,01-04-2021,11:50pm,Low,18.0%,16.5%
ANZ Job Advertisements m/m,AUD,01-05-2021,12:30am,Low,,13.9%
German Retail Sales m/m,EUR,01-05-2021,7:00am,Low,-2.0%,2.6%
CPI m/m,CHF,01-05-2021,7:30am,Low,0.0%,-0.2%
Spanish Unemployment Change,EUR,01-05-2021,8:00am,Low,30.5K,25.3K
German Unemployment Change,EUR,01-05-2021,8:55am,Low,10K,-39K
M3 Money Supply y/y,EUR,01-05-2021,9:00am,Low,10.6%,10.5%
Private Loans y/y,EUR,01-05-2021,9:00am,Low,3.3%,3.1%
OPEC-JMMC Meetings,ALL,01-05-2021,10:15am,High,,
IPPI m/m,CAD,01-05-2021,1:30pm,Low,-0.2%,-0.4%
RMPI m/m,CAD,01-05-2021,1:30pm,Low,0.9%,0.5%
GDT Price Index,NZD,01-05-2021,2:53pm,Low,,1.3%
ISM Manufacturing PMI,USD,01-05-2021,3:00pm,Medium,56.6,57.5
ISM Manufacturing Prices,USD,01-05-2021,3:00pm,Low,66.0,65.4
Wards Total Vehicle Sales,USD,01-05-2021,3:15pm,Low,15.8M,15.6M
FOMC Member Evans Speaks,USD,01-05-2021,8:45pm,Low,,
BRC Shop Price Index y/y,GBP,01-06-2021,12:01am,Low,,-1.8%
Caixin Services PMI,CNY,01-06-2021,1:45am,Low,58.1,57.8
10-y Bond Auction,JPY,01-06-2021,3:35am,Low,,0.02|3.4
Consumer Confidence,JPY,01-06-2021,5:00am,Low,32.6,33.7
Italian Bank Holiday,EUR,01-06-2021,7:03am,Holiday,,
German Prelim CPI m/m,EUR,01-06-2021,7:29am,Low,0.6%,-0.8%
French Prelim CPI m/m,EUR,01-06-2021,7:45am,Low,0.4%,0.2%
Spanish Services PMI,EUR,01-06-2021,8:15am,Low,44.5,39.5
Italian Services PMI,EUR,01-06-2021,8:45am,Low,45.0,39.4
French Final Services PMI,EUR,01-06-2021,8:50am,Low,49.2,49.2
German Final Services PMI,EUR,01-06-2021,8:55am,Low,47.7,47.7
Final Services PMI,EUR,01-06-2021,9:00am,Low,47.4,47.3
Final Services PMI,GBP,01-06-2021,9:30am,Low,49.9,49.9
PPI m/m,EUR,01-06-2021,10:00am,Low,0.2%,0.4%
10-y Bond Auction,GBP,01-06-2021,10:05am,Low,,0.43|2.7
German 10-y Bond Auction,EUR,01-06-2021,10:36am,Low,,-0.57|2.0
ADP Non-Farm Employment Change,USD,01-06-2021,1:15pm,Medium,60K,307K
BOE Gov Bailey Speaks,GBP,01-06-2021,2:30pm,High,,
Final Services PMI,USD,01-06-2021,2:45pm,Low,55.2,55.3
Factory Orders m/m,USD,01-06-2021,3:00pm,Low,0.7%,1.0%
Crude Oil Inventories,USD,01-06-2021,3:30pm,Low,-2.8M,-6.1M
FOMC Meeting Minutes,USD,01-06-2021,7:00pm,High,,
Average Cash Earnings y/y,JPY,01-06-2021,11:30pm,Low,-0.9%,-0.8%
Trade Balance,AUD,01-07-2021,12:30am,Low,6.45B,7.46B
Building Approvals m/m,AUD,01-07-2021,12:30am,Low,1.9%,3.8%
German Factory Orders m/m,EUR,01-07-2021,7:00am,Low,-0.6%,2.9%
Retail Sales y/y,CHF,01-07-2021,7:30am,Low,3.5%,3.1%
ECB Economic Bulletin,EUR,01-07-2021,9:00am,Low,,
Construction PMI,GBP,01-07-2021,9:30am,Low,54.6,54.7
Housing Equity Withdrawal q/q,GBP,01-07-2021,9:32am,Low,-7.0B,-7.7B
