Pair,Batch,Indicator,MT,Confidence,Result,correct conf,incorrect conf
AUDCAD,Result2,MACD32,RAV,0.44,1,0,0
AUDCHF,Result2,MACD32,BUN,0.39,0,0,0
AUDJPY,Result2,MACD32,BEV,0.95,1,0,0
AUDNZD,Result2,MACD32,BUN,0.90,0,0,0
AUDUSD,Result2,MACD32,RAV,0.57,1,0,0
CADCHF,Result2,MACD32,BUN,0.95,0,0,0
CADJPY,Result2,MACD32,BEV,0.74,1,0,0
CHFJPY,Result2,MACD32,BEV,0.77,1,0,0
EURAUD,Result2,MACD32,BUN,0.99,1,1,0
EURCAD,Result2,MACD32,BUN,0.67,1,0,0
EURCHF,Result2,MACD32,BUN,0.89,0,0,0
EURGBP,Result2,MACD32,RAN,0.57,1,0,0
EURJPY,Result2,MACD32,BEV,0.98,0,0,1
EURNZD,Result2,MACD32,BUN,0.98,1,1,0
EURUSD,Result2,MACD32,BUN,0.58,1,0,0
GBPAUD,Result2,MACD32,BUN,0.91,1,0,0
GBPCAD,Result2,MACD32,RAV,0.76,1,0,0
GBPCHF,Result2,MACD32,BUN,0.93,1,0,0
GBPJPY,Result2,MACD32,BEV,0.98,1,1,0
GBPNZD,Result2,MACD32,BUN,0.84,1,0,0
GBPUSD,Result2,MACD32,BUN,0.60,1,0,0
NZDCAD,Result2,MACD32,RAV,0.39,1,0,0
NZDCHF,Result2,MACD32,BUN,0.39,0,0,0
NZDJPY,Result2,MACD32,BEV,0.90,1,0,0
NZDUSD,Result2,MACD32,RAV,0.48,1,0,0
USDCAD,Result2,MACD32,RAV,0.45,1,0,0
USDCHF,Result2,MACD32,BUN,0.83,0,0,0
USDJPY,Result2,MACD32,BEV,0.98,1,1,0
AUDCAD,Result2,MACD64,RAV,0.75,1,0,0
AUDCHF,Result2,MACD64,RAN,0.50,1,0,0
AUDJPY,Result2,MACD64,RAV,0.52,0,0,0
AUDNZD,Result2,MACD64,RAN,0.70,1,0,0
AUDUSD,Result2,MACD64,RAV,0.59,1,0,0
CADCHF,Result2,MACD64,RAN,0.51,1,0,0
CADJPY,Result2,MACD64,RAN,0.72,0,0,0
CHFJPY,Result2,MACD64,RAV,0.53,0,0,0
EURAUD,Result2,MACD64,BUN,0.75,1,0,0
EURCAD,Result2,MACD64,BUN,0.70,1,0,0
EURCHF,Result2,MACD64,RAV,0.42,1,0,0
