Id,Start,Name,Impact,Currency
2e1e4a3e-5cd8-4c97-bc59-9ae49ae3c80c,01/31/2021 22:00:00,Commonwealth Bank Manufacturing PMI,LOW,AUD
c103856a-d83a-4b42-aa9e-973289572a03,02/01/2021 00:00:00,TD Securities Inflation (YoY),MEDIUM,AUD
9f0a1448-69aa-4150-8223-acc5cddf5e16,02/01/2021 00:00:00,TD Securities Inflation (MoM),MEDIUM,AUD
0a264917-8dd4-4b43-89dc-485446253a87,02/01/2021 00:30:00,Jibun Bank Manufacturing PMI,LOW,JPY
f1df1179-9aab-4b59-afd7-3f14ec95a83f,02/01/2021 00:30:00,Home Loans,LOW,AUD
5435943a-50b9-4127-989f-48c6258b1df4,02/01/2021 00:30:00,Investment Lending for Homes,LOW,AUD
3ae78f28-8815-44da-9b75-29e2b760a323,02/01/2021 00:30:00,ANZ Job Advertisements,LOW,AUD
72eb5321-6164-44a2-bac3-1276b173f55e,02/01/2021 01:45:00,Caixin Manufacturing PMI,MEDIUM,CNY
07425a98-4416-4a7b-850b-96c98f526ec0,02/01/2021 05:30:00,RBA Commodity Index SDR (YoY),LOW,AUD
770a0aad-7de0-478c-84f3-c3e5ebbbdaf0,02/01/2021 07:00:00,Retail Sales (YoY),HIGH,EUR
34c5f20a-691f-4f99-a2b1-5a28c752d62f,02/01/2021 07:00:00,Retail Sales (MoM),MEDIUM,EUR
ef0e050e-d55d-464a-96e2-fac8d78fed78,02/01/2021 07:30:00,Real Retail Sales (YoY),MEDIUM,CHF
2d52cd9a-ad13-49b2-a369-87c99240278c,02/01/2021 08:15:00,Markit Manufacturing PMI,MEDIUM,EUR
05eb1d91-0e69-46b5-83f9-15637db67ece,02/01/2021 08:30:00,SVME - Purchasing Managers' Index,LOW,CHF
c3010e7b-e599-48ed-8cb1-3718f8c96a03,02/01/2021 08:45:00,Markit Manufacturing PMI,MEDIUM,EUR
ed463cae-2eeb-46f4-bde5-8f3458e94619,02/01/2021 08:50:00,Markit Manufacturing PMI,LOW,EUR
accc1263-c65a-4d89-b882-a1cfd8f908ab,02/01/2021 08:55:00,Markit Manufacturing PMI,MEDIUM,EUR
46d3f0a4-4d11-40b0-bed0-3ab0b90c4350,02/01/2021 09:00:00,Unemployment,MEDIUM,EUR
a5ee93fe-1d11-43b8-a12e-7c80f97fa038,02/01/2021 09:00:00,Markit Manufacturing PMI,LOW,EUR
62adcb0d-6678-4ba1-9db0-fb75a9159253,02/01/2021 09:30:00,Markit Manufacturing PMI,MEDIUM,GBP
2e7a04c2-7474-4cc7-a877-9907b2b2e8f3,02/01/2021 09:30:00,Net Lending to Individuals (MoM),LOW,GBP
b3898953-e68a-4e96-900f-6824366c09fa,02/01/2021 09:30:00,Consumer Credit,LOW,GBP
4a86e793-3bb7-48e4-a28f-0e00c09ce02f,02/01/2021 09:30:00,M4 Money Supply (MoM),LOW,GBP
d7823d55-f9b5-4ace-a7e6-1fee0d27bab5,02/01/2021 09:30:00,M4 Money Supply (YoY),LOW,GBP
7196fc7e-9cfb-4bd9-9a86-61b09378103d,02/01/2021 09:30:00,Mortgage Approvals,LOW,GBP
3ab190fa-e6f1-43c2-854e-6f378e0b00e8,02/01/2021 10:00:00,Unemployment Rate,MEDIUM,EUR
406213b8-d65e-454c-b4b8-f26a3e4e28c5,02/01/2021 14:30:00,Markit Manufacturing PMI,MEDIUM,CAD
5c9f3ecd-5389-43f8-8cc2-f26ff5532bec,02/01/2021 14:45:00,Markit Manufacturing PMI,MEDIUM,USD
0353097a-0279-44e8-af9f-46bb25a66aa3,02/01/2021 15:00:00,ISM Manufacturing Employment Index,MEDIUM,USD
95b8a617-ccf4-4e16-86ba-c1a55bfde268,02/01/2021 15:00:00,ISM Manufacturing PMI,HIGH,USD
658d4083-1e79-498e-8c7b-66df916eb3ce,02/01/2021 15:00:00,ISM Manufacturing Prices Paid,MEDIUM,USD
b9a619bb-7675-45f6-a589-4cdc9c53032c,02/01/2021 15:00:00,ISM Manufacturing New Orders Index,MEDIUM,USD
ce9f0b3e-b58e-493d-b9ed-3c03f4590541,02/01/2021 15:00:00,Construction Spending (MoM),LOW,USD
dc85226e-1090-4651-9c60-3d865ee752f0,02/01/2021 16:30:00,3-Month Bill Auction,LOW,USD
6153b019-0a5e-419c-a7db-567c667b8a18,02/01/2021 16:30:00,6-Month Bill Auction,LOW,USD
62f5b545-4424-42c4-b66b-599d08547ff0,02/01/2021 18:00:00,Loan Officer Survey,LOW,USD
a625fdf8-8110-483a-b78e-541836bb3bc5,02/01/2021 19:10:00,Fed's Rosengren speech,MEDIUM,USD
501842be-3cbe-4d75-82fb-f3421694b6a1,02/01/2021 22:00:00,President Biden speech,HIGH,USD
c0858a91-599f-461a-bb77-dba1fa2c8229,02/01/2021 23:50:00,Monetary Base (YoY),LOW,JPY
601f7d10-f35a-4316-aad4-66e104a48918,02/02/2021 03:30:00,RBA Interest Rate Decision,HIGH,AUD
476ab57d-288f-4f2f-900d-58c71ac0f8b8,02/02/2021 03:30:00,RBA Rate Statement,HIGH,AUD
8931b172-052d-4baf-b9d2-fa745382fc29,02/02/2021 03:35:00,10-y Bond Auction,LOW,JPY
936e1679-634a-40ca-80a3-e699a7bc47d0,02/02/2021 07:00:00,Nationwide Housing Prices s.a (MoM),LOW,GBP
3bac0174-7bed-479f-bb88-57ba7ef80c3d,02/02/2021 07:00:00,Nationwide Housing Prices n.s.a (YoY),LOW,GBP
25a4ace7-fd2b-442a-840f-2a6c55f67f03,02/02/2021 07:45:00,Consumer Price Index (EU norm) (MoM),LOW,EUR
268a4667-2b74-4748-a60e-02aab17a9061,02/02/2021 07:45:00,Consumer Price Index (EU norm) (YoY),LOW,EUR
6f387cb3-4dea-49d3-9f3a-2539bb9c527d,02/02/2021 08:00:00,Unemployment Change,LOW,EUR
b2a6977a-eb05-42b1-8e1d-3e096f7179c1,02/02/2021 09:00:00,Gross Domestic Product (YoY),MEDIUM,EUR
84ce1d06-7aa9-457d-80ac-53d35e4cfa77,02/02/2021 09:00:00,Gross Domestic Product (QoQ),MEDIUM,EUR
