Title,Country,Date,Time,Impact,Forecast,Previous
AIG Manufacturing Index,AUD,01-31-2021,9:30pm,Low,,52.1
MI Inflation Gauge m/m,AUD,02-01-2021,12:00am,Low,,0.5%
ANZ Job Advertisements m/m,AUD,02-01-2021,12:30am,Low,,9.2%
Final Manufacturing PMI,JPY,02-01-2021,12:30am,Low,49.8,49.7
Caixin Manufacturing PMI,CNY,02-01-2021,1:45am,Low,52.6,53.0
Commodity Prices y/y,AUD,02-01-2021,5:30am,Low,,11.7%
German Retail Sales m/m,EUR,02-01-2021,7:00am,Low,-2.0%,1.9%
Retail Sales y/y,CHF,02-01-2021,7:30am,Low,1.5%,1.7%
Spanish Manufacturing PMI,EUR,02-01-2021,8:15am,Low,50.2,51.0
Manufacturing PMI,CHF,02-01-2021,8:30am,Low,56.5,58.0
Italian Manufacturing PMI,EUR,02-01-2021,8:45am,Low,52.5,52.8
French Final Manufacturing PMI,EUR,02-01-2021,8:50am,Low,51.5,51.5
German Final Manufacturing PMI,EUR,02-01-2021,8:55am,Low,57.0,57.0
Final Manufacturing PMI,EUR,02-01-2021,9:00am,Low,54.7,54.7
Italian Monthly Unemployment Rate,EUR,02-01-2021,9:00am,Low,9.0%,8.9%
Final Manufacturing PMI,GBP,02-01-2021,9:30am,Medium,52.9,52.9
Net Lending to Individuals m/m,GBP,02-01-2021,9:30am,Low,4.3B,4.1B
Mortgage Approvals,GBP,02-01-2021,9:30am,Low,100K,105K
M4 Money Supply m/m,GBP,02-01-2021,9:30am,Low,0.9%,0.8%
Unemployment Rate,EUR,02-01-2021,10:00am,Low,8.3%,8.3%
Manufacturing PMI,CAD,02-01-2021,2:30pm,Medium,,57.9
Final Manufacturing PMI,USD,02-01-2021,2:45pm,Low,59.1,59.1
Construction Spending m/m,USD,02-01-2021,3:00pm,Low,0.8%,0.9%
ISM Manufacturing PMI,USD,02-01-2021,3:00pm,High,60.0,60.7
ISM Manufacturing Prices,USD,02-01-2021,3:00pm,Low,72.0,77.6
Loan Officer Survey,USD,02-01-2021,7:00pm,Low,,
FOMC Member Bostic Speaks,USD,02-01-2021,7:00pm,Low,,
Monetary Base y/y,JPY,02-01-2021,11:50pm,Low,19.2%,18.3%
Cash Rate,AUD,02-02-2021,3:30am,Medium,0.10%,0.10%
RBA Rate Statement,AUD,02-02-2021,3:30am,High,,
10-y Bond Auction,JPY,02-02-2021,3:35am,Low,,0.02|3.4
Nationwide HPI m/m,GBP,02-02-2021,6:59am,Low,0.3%,0.8%
French Prelim CPI m/m,EUR,02-02-2021,7:45am,Low,0.0%,0.2%
Spanish Unemployment Change,EUR,02-02-2021,8:00am,Low,35.3K,36.8K
Italian Prelim GDP q/q,EUR,02-02-2021,9:00am,Low,-2.0%,16.1%
Prelim Flash GDP q/q,EUR,02-02-2021,10:00am,Low,-0.9%,12.7%
GDT Price Index,NZD,02-02-2021,2:33pm,Low,,4.8%
IBD/TIPP Economic Optimism,USD,02-02-2021,3:03pm,Low,51.0,50.1
Wards Total Vehicle Sales,USD,02-02-2021,3:15pm,Low,16.1M,16.3M
AIG Construction Index,AUD,02-02-2021,9:30pm,Low,,55.3
Employment Change q/q,NZD,02-02-2021,9:45pm,High,0.1%,-0.8%
Unemployment Rate,NZD,02-02-2021,9:45pm,High,5.6%,5.3%
Labor Cost Index q/q,NZD,02-02-2021,9:45pm,Low,0.5%,0.4%
ANZ Commodity Prices m/m,NZD,02-03-2021,12:00am,Low,,1.8%
Building Approvals m/m,AUD,02-03-2021,12:30am,Low,3.2%,2.6%
RBA Gov Lowe Speaks,AUD,02-03-2021,1:30am,Medium,,
Caixin Services PMI,CNY,02-03-2021,1:45am,Low,55.5,56.3
French Gov Budget Balance,EUR,02-03-2021,7:45am,Low,,-176.8B
Spanish Services PMI,EUR,02-03-2021,8:15am,Low,45.1,48.0
Italian Services PMI,EUR,02-03-2021,8:45am,Low,39.5,39.7
French Final Services PMI,EUR,02-03-2021,8:50am,Low,46.5,46.5
German Final Services PMI,EUR,02-03-2021,8:55am,Low,46.8,46.8
Final Services PMI,EUR,02-03-2021,9:00am,Low,45.0,45.0
Final Services PMI,GBP,02-03-2021,9:30am,Medium,38.8,38.8
Italian Prelim CPI m/m,EUR,02-03-2021,10:00am,Low,0.2%,0.3%
Core CPI Flash Estimate y/y,EUR,02-03-2021,10:00am,Low,0.9%,0.2%
CPI Flash Estimate y/y,EUR,02-03-2021,10:00am,Low,0.6%,-0.3%
PPI m/m,EUR,02-03-2021,10:00am,Low,0.7%,0.4%
10-y Bond Auction,GBP,02-03-2021,10:33am,Low,,0.33|2.9
ADP Non-Farm Employment Change,USD,02-03-2021,1:15pm,Medium,62K,-123K
Final Services PMI,USD,02-03-2021,2:45pm,Low,57.5,57.5
ISM Services PMI,USD,02-03-2021,3:00pm,Medium,56.7,57.2
Crude Oil Inventories,USD,02-03-2021,3:30pm,Low,,-9.9M
Building Consents m/m,NZD,02-03-2021,9:45pm,Low,,1.2%
FOMC Member Evans Speaks,USD,02-03-2021,10:00pm,Low,,
Prelim ANZ Business Confidence,NZD,02-04-2021,12:00am,Low,,-15.6
NAB Quarterly Business Confidence,AUD,02-04-2021,12:30am,Low,,-10
Trade Balance,AUD,02-04-2021,12:30am,Low,9.00B,5.02B
30-y Bond Auction,JPY,02-04-2021,3:35am,Low,,0.65|3.0
SECO Consumer Climate,CHF,02-04-2021,6:45am,Low,-19,-13
ECB Economic Bulletin,EUR,02-04-2021,9:00am,Low,,
Construction PMI,GBP,02-04-2021,9:30am,Low,53.0,54.6
Retail Sales m/m,EUR,02-04-2021,10:00am,Low,2.4%,-6.1%
Spanish 10-y Bond Auction,EUR,02-04-2021,10:03am,Low,,-0.03|3.0
French 10-y Bond Auction,EUR,02-04-2021,10:18am,Low,,-0.33|1.9
BOE Monetary Policy Report,GBP,02-04-2021,12:00pm,High,,
Official Bank Rate,GBP,02-04-2021,12:00pm,High,0.10%,0.10%
Monetary Policy Summary,GBP,02-04-2021,12:00pm,High,,
Asset Purchase Facility,GBP,02-04-2021,12:00pm,High,895B,895B
MPC Official Bank Rate Votes,GBP,02-04-2021,12:00pm,High,0-0-9,0-0-9
MPC Asset Purchase Facility Votes,GBP,02-04-2021,12:00pm,High,0-0-9,0-0-9
Challenger Job Cuts y/y,USD,02-04-2021,12:30pm,Low,,134.5%
Unemployment Claims,USD,02-04-2021,1:30pm,Medium,828K,847K
Prelim Nonfarm Productivity q/q,USD,02-04-2021,1:30pm,Low,-2.9%,4.9%
Prelim Unit Labor Costs q/q,USD,02-04-2021,1:30pm,Low,4.1%,-8.9%
BOE Gov Bailey Speaks,GBP,02-04-2021,1:30pm,High,,
Factory Orders m/m,USD,02-04-2021,3:00pm,Low,0.7%,1.0%
Natural Gas Storage,USD,02-04-2021,3:30pm,Low,,-128B
FOMC Member Daly Speaks,USD,02-04-2021,7:00pm,Low,,
AIG Services Index,AUD,02-04-2021,9:30pm,Low,,52.9
RBA Gov Lowe Speaks,AUD,02-04-2021,10:30pm,High,,
Household Spending y/y,JPY,02-04-2021,11:30pm,Low,-1.9%,1.1%
RBA Monetary Policy Statement,AUD,02-05-2021,12:30am,Medium,,
Retail Sales m/m,AUD,02-05-2021,12:30am,Low,-4.2%,-4.2%
